,match_id,season,team1,team2,toss_winner,toss_decision,match_winner,winner_wickets,winner_runs,player_of_match,venue,outcome,method,eliminator,team1_win_percentage_against_team2,avg_1st_innings,avg_2nd_innings
687,337,2013,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,4.0,0.0,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,66.67,163.0,150.0
688,336,2013,Pune Warriors,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0.0,41.0,RG Sharma,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,16.67,169.0,159.0
689,335,2013,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,bat,Sunrisers Hyderabad,3.0,0.0,A Mishra,Feroz Shah Kotla,Normal,Not D/L,NA,66.67,162.0,148.0
690,334,2013,Pune Warriors,Rajasthan Royals,Rajasthan Royals,bat,Pune Warriors,7.0,0.0,AJ Finch,Subrata Roy Sahara Stadium,Normal,Not D/L,NA,20.0,149.0,134.0
691,333,2013,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,8.0,0.0,CH Gayle,"M Chinnaswamy Stadium, Bengaluru",Normal,Not D/L,NA,56.25,171.0,153.0
692,332,2013,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,10.0,0.0,MEK Hussey,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Normal,Not D/L,NA,42.86,168.0,157.0
693,331,2013,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0.0,44.0,KD Karthik,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,50.0,169.0,159.0
694,330,2013,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,0.0,19.0,SK Trivedi,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,51.85,159.0,145.0
695,329,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,NA,0.0,0.0,GH Vihari,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",tie,Not D/L,Sunrisers Hyderabad,50.0,159.0,148.0
696,328,2013,Pune Warriors,Punjab Kings,Pune Warriors,bat,Punjab Kings,8.0,0.0,M Vohra,Subrata Roy Sahara Stadium,Normal,Not D/L,NA,50.0,149.0,134.0
